featureNames,p-value,T-stat,corrected p-value
information centrality,1.533244101194584e-16,-9.026377499960143,2.896127746700881e-16
page rank,1.5631732558425615e-17,-9.376116648109935,3.321743168665443e-17
current flow betweenness centrality,1.7458106693083804e-07,-5.416124875506705,2.2829831829417283e-07
katz centrality,1.826913966137817e-18,-9.700624077688076,5.8136387076237445e-18
communicability betweenness centrality,1.5950652877977145e-07,5.434644504494579,2.2596758243800955e-07
betweenness centrality,4.350952876385601e-25,11.925404753931378,7.396619889855523e-24
load centrality,1.2487965921109153e-20,10.441072242430216,5.30738551647139e-20
harmonic centrality,4.301936143016323e-21,-10.597342471645241,2.4377638143759162e-20
clustering coefficient,0.795409129563529,-0.2596409895070628,0.795409129563529
avg path length on 2 neighborhood,0.11372766554417803,1.5886468097828832,0.12889135428340176
weighted node degree,2.0518724850436747e-18,9.683167197918499,5.8136387076237445e-18
algebraic connectivity on 2 neighborhood,0.0022791597128880474,-3.0912106823238363,0.0027675510799354862
abs graph density on 2 neighborhood,0.2052874101971088,1.2707886202453247,0.21811787333442811
size on 2 neighborhood,9.045001793451358e-13,7.638504000321654,1.3978639135333916e-12
estrada index on 2 neighborhood,3.312437689102396e-18,9.611056140084791,8.044491530677247e-18
eigenvector centrality,1.466204964963602e-14,8.310621983761193,2.4925484404381232e-14
rel graph density on 2 neighborhood,8.699629475968049e-22,10.830608695180967,7.394685054572842e-21
